Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7683695507097728,0.7605284802927192,0.7763066161904421,0.32257158751493975,0.6500000000000001
Cardiomegaly,0.8944264969366341,0.8850538793671133,0.9040587260653056,0.20882623274593026,0.8500000000000002
Consolidation,0.7500990616510645,0.7395645580226253,0.7606347810625831,0.4496635954069088,0.8500000000000002
Edema,0.8409890811731029,0.8293906478780915,0.8519312891387941,0.3615945783537041,0.8500000000000002
Effusion,0.8215306566020985,0.8153490138811013,0.8277376521443568,0.3111988455534522,0.8000000000000002
Emphysema,0.8888342518247201,0.8779676997627268,0.9001461316416056,0.16261872339879901,0.8500000000000002
Fibrosis,0.8207280744191316,0.8006411220855162,0.8383727702891479,0.22777087934103296,0.8500000000000002
Hernia,0.8900538320585634,0.8453583630882836,0.931364179006149,0.031799374276326495,0.8500000000000002
Infiltration,0.7077597936446176,0.7005786644601916,0.7146480308563888,0.3413243976899468,0.5500000000000002
Mass,0.808376091581542,0.7974870246376009,0.8192528693039283,0.2852641936395376,0.8500000000000002
No Finding,0.7327687941509962,0.7267270043031538,0.7392927731347914,0.04606211020614574,0.30000000000000004
Nodule,0.7568144990800006,0.7447232073435117,0.7701165934784339,0.26837264458079935,0.7000000000000002
Pleural_Thickening,0.7688932710344507,0.7558367490379622,0.7824313300557156,0.3281305043190103,0.8000000000000002
Pneumonia,0.7011275562132158,0.6794792046601319,0.7226048090650847,0.3779901723186892,0.8500000000000002
Pneumothorax,0.8471552679083012,0.8389965843133866,0.8546199014082454,0.21141264223625933,0.8500000000000002
MACRO,0.7998617519325474,0.7953844908355322,0.8040344554597757,0.2623066987720988,-
