Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7583643363980346,0.7497800500112882,0.7669256567617732,0.35410652850722685,0.6000000000000002
Cardiomegaly,0.894121760318891,0.885147569938984,0.9027634830848349,0.23338909244758926,0.8500000000000002
Consolidation,0.7409267509087457,0.7307741069762214,0.7510234689309927,0.43805727676391965,0.7500000000000002
Edema,0.8403170589826988,0.8294896824992098,0.8503005590200499,0.3781028223617093,0.8500000000000002
Effusion,0.8185574651055287,0.8119541794197369,0.8242715051241557,0.3119063163465807,0.7500000000000002
Emphysema,0.9067699722262663,0.8970530737791609,0.9164820640479003,0.26387248567830474,0.8500000000000002
Fibrosis,0.8104484362087467,0.7909220211983604,0.830845445015841,0.25781259440312926,0.8500000000000002
Hernia,0.9273212511281487,0.8868673761581908,0.9613530498074561,0.05670500213715782,0.8500000000000002
Infiltration,0.7032690511062373,0.6958176090245267,0.7103505881857967,0.32958943523049755,0.5000000000000001
Mass,0.7901265845012309,0.77899665353735,0.8002612865732833,0.3116224816792059,0.7500000000000002
No Finding,0.7262002366739432,0.7197505187239404,0.7330901536294293,0.025329988462037455,0.3500000000000001
Nodule,0.7365993278688268,0.7238853804173158,0.7494765227490039,0.409644023364066,0.7000000000000002
Pleural_Thickening,0.7649070141127055,0.7512149577036449,0.7781533583769386,0.39425776844719346,0.8000000000000002
Pneumonia,0.6881380122185202,0.6662527713194403,0.7078010865969947,0.4440822344087617,0.8000000000000002
Pneumothorax,0.848036711488573,0.8406873235097957,0.8553817696026969,0.29752164687041516,0.8000000000000002
MACRO,0.7969402646164732,0.7930612687990984,0.8010505797763907,0.3003999798071863,-
