Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7754339544222664,0.7675574103034127,0.7837148764659491,0.3772652949277701,0.8000000000000002
Cardiomegaly,0.8847147621397209,0.8746981550082528,0.8950435985599072,0.23078221103965602,0.8500000000000002
Consolidation,0.747766667442803,0.7378692891320373,0.7585441370545734,0.45093939325926935,0.8000000000000002
Edema,0.8453743151769175,0.8339912286485667,0.8557770345835668,0.3206740575006421,0.8500000000000002
Effusion,0.8277048534098567,0.8213813938006629,0.8335662254177669,0.32937598789547695,0.8000000000000002
Emphysema,0.9367607917308257,0.9296624024352313,0.9433870575829274,0.20439628524533154,0.8500000000000002
Fibrosis,0.8226695483385845,0.801527988075379,0.843814885720012,0.278678636462344,0.8500000000000002
Hernia,0.9375960635592062,0.8966487409286387,0.9718454956870392,0.04294914784620744,0.8500000000000002
Infiltration,0.7015117653255027,0.6938616741364095,0.7088394001616554,0.3474912550012187,0.6000000000000002
Mass,0.8268340124372744,0.8169735921252199,0.8368939939671671,0.28147363184818364,0.8000000000000002
No Finding,0.7313781840864148,0.7245285823532186,0.7378358443369987,0.0787151841070386,0.25000000000000006
Nodule,0.7777614058987443,0.766078734379436,0.7902657499565378,0.3579445562729588,0.8000000000000002
Pleural_Thickening,0.7928144977461182,0.7800427786980852,0.8051843189114131,0.3514379960261978,0.8000000000000002
Pneumonia,0.6975132314535694,0.6756759392644541,0.7164004278843666,0.40555856160203596,0.8500000000000002
Pneumothorax,0.8774108932556705,0.8709859596161135,0.8835738656264315,0.2679243151166603,0.8000000000000002
MACRO,0.812216329761565,0.8081885495213355,0.8161415581358112,0.2883737676100661,-
