Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.77050041226502,0.7623826340818342,0.7791195899199674,0.31645592669489925,0.6500000000000001
Cardiomegaly,0.8836343583175533,0.8733762757747995,0.893679627276027,0.16524267901078035,0.8500000000000002
Consolidation,0.7408527746819202,0.7302828990646756,0.750413809561643,0.45239983060881717,0.7500000000000002
Edema,0.8394087598197687,0.8284045215536406,0.8497993571602006,0.3405228536803078,0.8500000000000002
Effusion,0.8288524122477201,0.8229932577643617,0.8347382113978483,0.31709133818161117,0.8000000000000002
Emphysema,0.9283569623959633,0.9193162739984813,0.9359817893271647,0.15012590203206894,0.8500000000000002
Fibrosis,0.8321734009987176,0.8131009781302675,0.8489466489445424,0.22741155753721085,0.8500000000000002
Hernia,0.9089629693781736,0.8647982502007141,0.9483245691373796,0.024792611020621406,0.8500000000000002
Infiltration,0.7037454244911384,0.6968890613091244,0.711189429342893,0.33981936774809673,0.5500000000000002
Mass,0.8188385806522929,0.8078816907273653,0.8286685003785009,0.28628748995945463,0.8500000000000002
No Finding,0.7307862027656301,0.7245032013635905,0.7375799124718047,0.057997075714209353,0.30000000000000004
Nodule,0.7839908159155945,0.7724276406440762,0.795169462750773,0.3637591713629308,0.8000000000000002
Pleural_Thickening,0.7876954232804488,0.7743687890551175,0.8020542481360842,0.3697133533968639,0.8500000000000002
Pneumonia,0.7271434487080827,0.7053694821076713,0.7471551615390551,0.3790177007644302,0.8000000000000002
Pneumothorax,0.8628356969104557,0.8558331981895418,0.8701736533975658,0.1907610522280691,0.8000000000000002
MACRO,0.8098518428552318,0.8055754159196197,0.8140240077159661,0.26542652732935806,-
