Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7089204114442753,0.6999036723051094,0.7175292709260324,0.38549545230694693,0.6000000000000002
Cardiomegaly,0.8490033300961584,0.8380483604754186,0.8600925320226871,0.3020309009953837,0.8500000000000002
Consolidation,0.6962796885213941,0.6846251122162172,0.7066920861621282,0.48452602502102404,0.7000000000000002
Edema,0.811569245870247,0.799177045366637,0.8234707067246646,0.4356782815984859,0.8500000000000002
Effusion,0.7641693610049355,0.7574907947211273,0.7706388887417757,0.3441763645847804,0.7000000000000002
Emphysema,0.7159844198550067,0.7013347390197474,0.730025133515146,0.4159219923374904,0.7500000000000002
Fibrosis,0.7314296847840139,0.7101915147158735,0.7512869624237313,0.35702010549536195,0.8000000000000002
Hernia,0.8574172918964748,0.8101453452367336,0.899731014799543,0.1320223849631932,0.8500000000000002
Infiltration,0.6738305287208406,0.6667323176078709,0.6810867232927927,0.3463066747768081,0.5500000000000002
Mass,0.6949912613984679,0.6824593283097045,0.7087414642573198,0.4365653350691969,0.8000000000000002
No Finding,0.7013921020455705,0.6945794209816879,0.7077747000815824,0.029520823735674485,0.30000000000000004
Nodule,0.6257370333368724,0.6123411384468066,0.6390677674574821,0.45921296918693977,0.6500000000000001
Pleural_Thickening,0.701513740054975,0.6866415440132373,0.7163136630719436,0.4319938854382064,0.7000000000000002
Pneumonia,0.6503099241568152,0.6275024106047608,0.6727039779125762,0.5211487611484148,0.7500000000000002
Pneumothorax,0.7787694595328527,0.7699357895933466,0.7876325210391759,0.3819851706566816,0.7500000000000002
MACRO,0.7307544988479265,0.7255155016570325,0.7350981071783483,0.36424034182097265,-
