Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7576743081881121,0.7497859519493066,0.7666489287943544,0.33603804754880673,0.6000000000000002
Cardiomegaly,0.8801790302838401,0.8700286416158731,0.8896921855399131,0.21917959770042486,0.8500000000000002
Consolidation,0.7458737170435967,0.7357715008444979,0.7560509092083002,0.431759593516686,0.8000000000000002
Edema,0.841998253776455,0.8305760887681098,0.8534315121461586,0.3009904670658745,0.8500000000000002
Effusion,0.8186257062038567,0.8125205723493089,0.8245555086121918,0.3679922253986759,0.8500000000000002
Emphysema,0.8914526551802253,0.8803622170527312,0.902258008364478,0.25866472105792393,0.8500000000000002
Fibrosis,0.8183713437188642,0.798714613998858,0.8368047030388245,0.3524423457395706,0.8500000000000002
Hernia,0.9055429699251547,0.8707801006118101,0.9345307833116936,0.06431210308690408,0.8500000000000002
Infiltration,0.706802218439939,0.7000973536634733,0.7131896384875229,0.31637475504169504,0.5000000000000001
Mass,0.8095874486737898,0.7980292395643511,0.8195942570733935,0.3444030760960768,0.8000000000000002
No Finding,0.7308063300080848,0.7243024532861829,0.7368166044283609,0.044817274749269706,0.30000000000000004
Nodule,0.7257302764028098,0.7131727972976073,0.7387438546346328,0.40434254109999185,0.7000000000000002
Pleural_Thickening,0.7641734841624329,0.7510644875644676,0.7773378853198362,0.4761415396740328,0.8000000000000002
Pneumonia,0.7168776539808048,0.695748164022489,0.738292189912283,0.3884890741294744,0.8500000000000002
Pneumothorax,0.8552442219390041,0.8482600146655966,0.8621463752260741,0.31636277359321885,0.8500000000000002
MACRO,0.7979293078617979,0.7938940837958344,0.801720836248032,0.3081540090332417,-
