Class,AUC,CI_Lower,CI_Upper,ECE,Threshold
Atelectasis,0.7482922435537956,0.7392104120844165,0.7567792864767651,0.37390173862176374,0.7000000000000002
Cardiomegaly,0.8818367746005119,0.8717732296164428,0.8911184284381689,0.24756760674334188,0.8500000000000002
Consolidation,0.7438840507787834,0.7333672755602978,0.7538661098333662,0.43639777194936213,0.8000000000000002
Edema,0.8453619141414529,0.8334907864197537,0.8569651740408853,0.3792677191305154,0.8500000000000002
Effusion,0.8062544373888256,0.7998041421904919,0.8127526874600179,0.32807756043361636,0.8000000000000002
Emphysema,0.8707816609195379,0.8588400216828045,0.8822795449852081,0.28299876980240185,0.8500000000000002
Fibrosis,0.8073371624668172,0.7878277468822882,0.8250700441578558,0.36978527435494096,0.8500000000000002
Hernia,0.8338790989397683,0.7875523131479847,0.8800304652079132,0.05663158548746976,0.8500000000000002
Infiltration,0.7021628230869523,0.6947472896171015,0.7088200319952088,0.32011586681630094,0.5000000000000001
Mass,0.7879815874297708,0.7762590052073721,0.7991286750944278,0.28932333215291023,0.7500000000000002
No Finding,0.7226085002893896,0.7160974275977825,0.7288899492223113,0.031188332215056305,0.3500000000000001
Nodule,0.7092024275924094,0.6957992685519855,0.7219243468904301,0.3613976832947301,0.6500000000000001
Pleural_Thickening,0.7563376082508559,0.7414364307592304,0.7691420237826142,0.34835787342750973,0.7000000000000002
Pneumonia,0.6995046682000079,0.6798604836876585,0.7229196876398674,0.45318219735493653,0.8500000000000002
Pneumothorax,0.8412567010109372,0.8330775698996367,0.8485729825217188,0.28193997080037747,0.8500000000000002
MACRO,0.783778777243321,0.7793038610517394,0.7884388623272972,0.3040088855056822,-
